"Variable","Adjusted RR","P-value","AIC","Moran's I","Moran's I p-value","Overdispersion"
"Dichloropentafluoropropane",0.902486500769979,0.615115893684162,3857.99157277103,NA,NA,0.145
"Silver compounds",0.962597661702447,0.616580884971342,3858.3350154317,NA,NA,0.146
"Hydrazine sulfate",1.02219490514613,0.617521604443727,3858.6674239937,NA,NA,0.147
"Chloroethane (Ethyl chloride)",0.942721019388606,0.618503975061752,3858.25220119303,NA,NA,0.147
"3-Chloropropionitrile",1.0293376326596,0.618936933392196,3858.48236044356,NA,NA,0.147
"Benzal chloride",1.02716605639066,0.620521166269719,3858.58329037126,NA,NA,0.147
"Famphur",1.02261187146078,0.621645481139191,3858.4941984182,NA,NA,0.146
"Safrole",1.0222948955445,0.62971311287501,3858.45537914036,NA,NA,0.146
"Isosafrole",1.02234064210218,0.630275649672698,3858.59010023591,NA,NA,0.145
"Sodium o-phenylphenoxide",0.250553122956939,0.631312990493353,3857.69322837405,NA,NA,0.146
"1,2,3-Trichloropropane",0.92779507371772,0.640241977536317,3858.21608370055,NA,NA,0.146
"Temephos",1.02104613436462,0.642074728030955,3858.45252597064,NA,NA,0.146
"Tetramethrin",5.61800265384302e-05,0.642442222084502,3857.2185560358,NA,NA,0.145
"1,4-Dichloro-2-butene",0.934535684248957,0.644109463498158,3858.34728551444,NA,NA,0.146
"Folpet",0.969023588864767,0.647398883381342,3858.55712343889,NA,NA,0.146
"4-Aminodiphenyl",0.937487385705073,0.65416832308124,3858.41238309209,NA,NA,0.146
"Metham sodium",1.01544056179693,0.654797721327114,3858.52290751423,NA,NA,0.145
"1,2-Dichloroethylene",0.966249812456479,0.657862626333899,3858.49030479967,NA,NA,0.145
"Ametryn",0.840758610573193,0.664565204888232,3857.75481356066,NA,NA,0.145
"Phosgene",0.974286959212473,0.665932297754337,3858.46620820737,NA,NA,0.146
"Dimethylamine",0.974060135903732,0.668540747592662,3858.53550394203,NA,NA,0.146
"1-Bromopropane",0.970466622601228,0.675843644516864,3858.50132878151,NA,NA,0.145
